"OrderId","OrderDate","ProductId","Quantity","UnitPrice","LineTotal","Channel","Shipped"
"1","2026-05-18","19","4","360.07","1440.28","Partner","TRUE"
"2","2026-07-27","102","2","274.28","548.56","Partner","FALSE"
"3","2026-08-24","58","33","478.64","15795.12","Online","FALSE"
"4","2025-01-30","42","20","498.42","9968.4","Direct","TRUE"
"5","2026-03-08","85","39","615.33","23997.87","Retail","TRUE"
"6","2026-08-05","131","9","711.61","6404.49","Partner","TRUE"
"7","2025-04-22","97","34","729.55","24804.7","Direct","TRUE"
"8","2026-08-08","138","17","919.11","15624.87","Partner","TRUE"
"9","2026-02-07","159","33","1067.3","35220.9","Retail","TRUE"
"10","2024-10-26","114","37","1132.89","41916.93","Online","TRUE"
"11","2025-06-28","66","4","67.31","269.24","Direct","FALSE"
"12","2026-04-19","115","15","372.23","5583.45","Online","TRUE"
"13","2025-07-20","97","34","1150.14","39104.76","Partner","TRUE"
"14","2025-01-28","167","5","132.12","660.6","Direct","FALSE"
"15","2025-06-19","91","7","935.32","6547.24","Retail","TRUE"
"16","2026-06-05","144","27","211.71","5716.17","Direct","TRUE"
"17","2025-10-02","42","35","1026.21","35917.35","Online","TRUE"
"18","2026-04-25","54","8","752.35","6018.8","Direct","TRUE"
"19","2025-06-01","142","36","811.05","29197.8","Direct","TRUE"
"20","2024-11-18","132","38","890.47","33837.86","Direct","TRUE"
"21","2026-01-11","177","7","765.45","5358.15","Partner","TRUE"
"22","2025-07-16","127","39","1183.22","46145.58","Retail","TRUE"
"23","2026-08-06","74","8","127.84","1022.72","Online","TRUE"
"24","2025-03-14","198","11","1053.91","11593.01","Online","TRUE"
"25","2024-10-08","18","12","919.26","11031.12","Direct","TRUE"
"26","2026-03-06","25","4","323.09","1292.36","Retail","TRUE"
"27","2026-06-21","150","11","695.81","7653.91","Direct","TRUE"
"28","2025-10-02","34","36","241.23","8684.28","Partner","TRUE"
"29","2024-12-26","132","24","1059.79","25434.96","Retail","TRUE"
"30","2024-12-09","98","13","1155.22","15017.86","Partner","FALSE"
"31","2026-06-15","88","1","137.79","137.79","Online","TRUE"
"32","2025-07-18","162","17","202.79","3447.43","Retail","TRUE"
"33","2024-10-19","120","29","783.48","22720.92","Retail","TRUE"
"34","2026-01-18","150","10","626.09","6260.9","Direct","TRUE"
"35","2025-11-01","161","21","750.05","15751.05","Online","TRUE"
"36","2025-10-16","77","34","1176.41","39997.94","Partner","TRUE"
"37","2025-10-15","25","13","1096.58","14255.54","Online","TRUE"
"38","2026-05-06","106","9","1078.09","9702.81","Partner","TRUE"
"39","2025-09-12","195","31","225.09","6977.79","Partner","TRUE"
"40","2025-09-09","125","34","535.57","18209.38","Online","TRUE"
"41","2025-06-02","198","33","95.76","3160.08","Direct","TRUE"
"42","2026-03-06","174","15","467.73","7015.95","Partner","TRUE"
"43","2026-02-02","83","34","1166.05","39645.7","Partner","FALSE"
"44","2025-05-15","99","9","836.84","7531.56","Direct","TRUE"
"45","2026-02-04","14","23","1050.55","24162.65","Retail","TRUE"
"46","2025-12-13","101","11","516.39","5680.29","Direct","TRUE"
"47","2026-05-17","43","5","113.26","566.3","Direct","TRUE"
"48","2024-12-04","156","31","769.86","23865.66","Online","TRUE"
"49","2025-11-30","171","2","740.29","1480.58","Partner","FALSE"
"50","2026-01-16","27","6","1180.21","7081.26","Partner","TRUE"
"51","2026-05-10","159","11","738.96","8128.56","Partner","TRUE"
"52","2025-10-12","53","22","141.93","3122.46","Direct","TRUE"
"53","2026-04-17","89","10","524.88","5248.8","Online","TRUE"
"54","2025-04-23","62","5","1030.31","5151.55","Direct","TRUE"
"55","2025-06-23","19","24","1067.66","25623.84","Partner","TRUE"
"56","2026-03-07","9","19","46.92","891.48","Direct","FALSE"
"57","2026-03-24","19","33","194.06","6403.98","Retail","TRUE"
"58","2025-08-14","73","20","68.25","1365","Online","TRUE"
"59","2024-09-24","42","30","174.3","5229","Partner","FALSE"
"60","2026-04-05","24","13","321.12","4174.56","Partner","FALSE"
"61","2026-03-09","28","13","1177.26","15304.38","Partner","TRUE"
"62","2026-04-26","31","35","395.28","13834.8","Retail","TRUE"
"63","2025-06-19","67","39","720.09","28083.51","Retail","TRUE"
"64","2026-01-04","143","19","405.23","7699.37","Online","TRUE"
"65","2026-02-13","91","11","19.13","210.43","Partner","TRUE"
"66","2026-08-26","135","23","1005.91","23135.93","Direct","TRUE"
"67","2026-02-25","2","39","1001.8","39070.2","Direct","FALSE"
"68","2026-03-03","158","31","386.59","11984.29","Retail","TRUE"
"69","2026-09-01","114","7","563.96","3947.72","Retail","TRUE"
"70","2024-10-19","161","31","470.32","14579.92","Direct","FALSE"
"71","2025-08-15","194","37","819.59","30324.83","Partner","TRUE"
"72","2024-09-20","166","31","664.88","20611.28","Retail","TRUE"
"73","2024-10-09","183","16","352.74","5643.84","Retail","TRUE"
"74","2026-07-21","23","9","271.3","2441.7","Partner","FALSE"
"75","2024-11-19","54","26","470.87","12242.62","Online","TRUE"
"76","2025-07-24","165","1","136.78","136.78","Online","TRUE"
"77","2025-08-10","127","38","63.58","2416.04","Direct","TRUE"
"78","2025-07-25","144","6","477.48","2864.88","Online","TRUE"
"79","2026-03-04","66","32","201.67","6453.44","Direct","TRUE"
"80","2025-03-12","6","31","1058.78","32822.18","Online","TRUE"
"81","2025-12-18","13","39","1108.07","43214.73","Online","TRUE"
"82","2024-12-22","105","17","1111.34","18892.78","Direct","TRUE"
"83","2026-09-13","146","6","613.98","3683.88","Direct","TRUE"
"84","2025-11-29","179","1","260.02","260.02","Retail","TRUE"
"85","2025-07-05","91","2","673","1346","Retail","TRUE"
"86","2024-10-02","15","8","1084.95","8679.6","Online","FALSE"
"87","2024-10-12","1","23","564.97","12994.31","Partner","TRUE"
"88","2026-06-20","172","15","701.13","10516.95","Partner","TRUE"
"89","2026-08-24","87","13","923.86","12010.18","Retail","FALSE"
"90","2025-05-29","150","29","1039.25","30138.25","Retail","TRUE"
"91","2024-11-24","159","22","917.4","20182.8","Online","FALSE"
"92","2025-08-14","13","13","341.36","4437.68","Online","FALSE"
"93","2024-10-22","163","37","1021.71","37803.27","Retail","TRUE"
"94","2025-01-14","19","15","180.97","2714.55","Partner","TRUE"
"95","2025-04-10","67","5","1079.71","5398.55","Online","FALSE"
"96","2026-07-17","55","7","947.81","6634.67","Direct","TRUE"
"97","2025-08-25","3","30","371.23","11136.9","Retail","TRUE"
"98","2025-09-29","144","6","1144.04","6864.24","Partner","TRUE"
"99","2025-07-02","114","32","76.14","2436.48","Direct","FALSE"
"100","2026-05-27","174","36","400.89","14432.04","Direct","TRUE"
